NonFruit_Odor Data,TGS2620,TGS2610,TGS2602,MQ4,MQ5,temp,humid
,282,20,252,246,31,24,41
,279,17,241,242,32,24,41
,271,19,236,236,30,24,41
,265,19,226,231,31,24,41
,256,19,232,236,31,24,41
,263,18,224,240,29,24,41
,273,19,241,243,31,24,41
,282,18,250,263,31,24,41
,290,18,264,256,31,24,41
,271,22,235,235,29,24,41
,251,19,223,223,30,24,41
,268,22,239,236,32,24,41
,281,19,242,247,31,24,41
,303,19,265,254,31,24,41
,271,19,230,233,30,24,41
,268,19,235,234,31,24,41
,289,18,260,250,34,24,41
,258,19,224,224,31,24,41
,295,19,255,253,33,24,41
,278,20,241,244,30,24,41
,265,19,233,233,32,24,41
,284,17,263,253,32,24,41
,284,20,254,252,29,24,41
,264,18,219,226,29,24,41
,272,20,237,240,31,24,41
,280,19,247,251,31,24,41
,260,19,223,228,31,24,41
,292,19,257,258,31,24,41
,273,19,225,233,32,24,41
,279,20,245,246,31,24,41
,283,17,245,247,31,24,41
,270,19,238,238,31,24,41
,285,19,245,243,30,24,41
,283,19,251,251,31,24,41
,256,19,228,231,31,24,41
,267,19,238,242,33,24,41
,300,20,255,254,34,24,41
,275,18,238,233,31,24,41
,282,19,237,238,33,24,41
,292,20,247,260,31,24,41
,258,19,236,223,31,24,41
,299,20,251,266,31,24,41
,251,19,230,221,31,24,41
,281,19,251,251,30,24,41
,283,19,252,251,31,24,41
,266,20,221,236,31,24,41
,286,18,246,247,32,24,41
,299,20,246,265,31,24,41
,271,19,223,233,30,24,41
,258,19,221,231,31,24,41
,273,19,242,242,33,24,41
,309,19,265,269,32,24,41
,292,20,245,262,31,24,41
,262,20,237,231,31,24,41
,259,20,229,224,33,24,41
,258,19,218,224,31,24,41
,268,19,236,237,32,24,41
,295,19,257,257,34,24,41
,277,19,240,245,31,24,41
,254,22,231,232,31,24,41
,270,19,240,238,29,24,41
,292,19,250,258,33,24,41
,287,19,243,253,34,24,41
,272,19,228,237,32,24,41
,266,19,229,231,32,24,41
,279,21,249,243,31,24,41
,299,21,252,261,31,24,41
,264,19,223,230,32,24,41
,299,18,264,251,32,24,41
,273,20,241,246,32,24,41
,263,18,221,233,29,24,41
,284,19,248,253,31,24,41
,285,19,244,247,31,24,41
,281,17,232,243,31,24,41
,302,19,262,262,31,24,41
,283,19,245,246,31,24,41
,269,19,234,245,31,24,41
,268,17,231,226,32,24,41
,256,17,231,235,30,24,41
,258,20,227,223,30,24,41
,273,21,218,228,31,24,41
,269,18,240,235,31,24,41
,289,18,256,253,31,24,41
,286,20,252,250,31,24,41
,272,18,240,241,31,24,41
,263,20,224,229,30,24,41
,271,18,234,225,31,24,41
,290,20,255,253,31,24,41
,296,20,261,260,32,24,41
,282,17,261,248,30,24,41
,264,20,234,237,32,24,41
,266,20,230,227,30,24,41
,266,19,238,231,30,24,41
,297,19,253,258,34,24,41
,285,19,249,251,31,24,41
,253,19,231,217,31,24,41
,305,19,257,263,31,24,41
,257,18,233,226,31,24,41
,291,21,263,255,31,24,41
,250,20,227,222,31,24,41
,297,18,261,259,30,24,41
,264,20,219,233,31,24,41
,290,19,255,256,32,24,41
,263,18,224,234,31,24,41
,294,20,259,257,31,24,41
,245,19,223,236,31,24,41
,283,20,261,252,31,24,41
,256,19,238,230,34,24,41
,282,20,246,244,31,24,41
,284,21,249,251,31,24,41
,265,19,219,227,31,24,41
,269,17,232,229,31,24,41
,295,19,244,252,31,24,41
,294,22,253,261,29,24,41
,292,20,257,253,31,24,41
,290,22,249,253,32,24,41
,277,19,242,248,33,24,41
,270,20,229,231,31,24,41
,277,19,237,247,34,24,41
,279,20,262,248,31,24,41
,289,19,266,255,30,24,41
,302,20,248,264,29,24,41
,296,20,254,260,31,24,41
,289,21,252,251,32,24,41
,283,20,250,240,31,24,41
,270,20,239,231,31,24,41
,261,19,225,230,30,24,41
,277,19,247,243,32,24,41
,294,21,267,252,31,24,41
,266,18,241,231,31,24,41
,283,20,246,249,31,24,41
,282,22,240,250,31,24,41
,269,20,228,235,29,24,41
,296,19,261,259,30,24,41
,266,19,220,232,32,24,41
,303,19,251,266,32,24,41
,258,17,237,225,31,24,41
,280,20,242,243,31,24,41
,288,20,248,254,32,24,41
,259,20,232,227,31,24,41
,296,20,256,264,31,24,41
,258,20,232,233,31,24,41
,288,19,258,250,32,24,41
,272,19,237,240,31,24,41
